Price,close,high,low,open,volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2010-07-16,330.18310546875,332.10403146109076,314.8750208843973,314.8750208843973,19135452
2010-07-19,327.43048095703125,330.5990352197355,326.06403709640995,329.3118100505119,3027924
2010-07-20,327.64837646484375,330.5396779439364,326.7572204091823,327.4305431527353,2342062
2010-07-21,333.88653564453125,334.59945579684063,328.5791955150372,329.529771834223,2943720
2010-07-22,334.1636962890625,335.07465090705244,329.7277149883229,333.88644292511253,1362882
2010-07-23,332.4209899902344,336.6589367345471,330.7574939385976,336.6589367345471,1894472
2010-07-26,336.36187744140625,337.2926306943087,332.8566735516252,333.64881220912633,2766490
2010-07-27,336.3223571777344,340.54048199015705,335.15394755558725,338.63935361173003,2106602
2010-07-28,338.4214172363281,339.80765978229954,335.47069612507306,337.0549733204689,4359228
2010-07-29,337.4488830566406,339.43387648638554,337.05188437069165,339.43387648638554,5331904
2010-07-30,333.3993835449219,337.448773675198,331.49379531622395,337.0517751179331,1283426
2010-08-02,332.80401611328125,336.83356274078534,332.2879226327871,334.6699149097247,2827762
2010-08-03,330.3226623535156,335.2652995013977,328.9331673289391,333.87580447682114,1281552
2010-08-04,344.912353515625,346.18275378854594,331.83124575966593,331.89080523764267,5583934
2010-08-05,348.5052490234375,350.31161223357043,343.6618849641173,346.18281665451553,2912950
2010-08-06,343.28466796875,350.7482362308268,341.67682860809333,349.35874123726944,2437734
2010-08-09,349.2991943359375,350.82765342240424,335.9004921299312,341.87534020204674,4259986
2010-08-10,343.2052001953125,351.3436693728763,341.9745145486124,351.3436693728763,1545194
2010-08-11,340.6842041015625,346.57962095117114,339.3542448549288,342.21263832750236,4020248
2010-08-12,338.8184509277344,340.1881009071693,335.9402111549401,340.1881009071693,2278092
2010-08-13,339.1955871582031,342.5700749958199,332.68480093210053,340.22777374559683,2589906
2010-08-16,339.0765380859375,342.4311815326587,336.9724500820657,340.22784386604883,1319098
2010-08-17,337.5281066894531,341.8156853529339,335.06671130996074,337.48839230362324,1733196
2010-08-18,345.825439453125,347.69133755034204,337.448779443981,338.6397751361362,2888916
2010-08-19,346.20245361328125,349.71590402974687,344.3167111929127,346.976605347815,2148534
2010-08-20,344.97186279296875,349.31900135744274,342.6097167939289,344.99170787244987,1746396
2010-08-23,345.5475769042969,347.5524149055726,340.2476312740012,341.41878194195294,1049830
2010-08-24,345.6665344238281,350.1129216419651,343.4036385490667,345.38863067940815,2650474
2010-08-25,345.8650207519531,349.9540995419491,343.91971884434474,346.1826146348039,2379968
2010-08-26,347.96929931640625,348.96179589175256,341.5180715766554,346.97680274106,4204428
2010-08-27,339.8507080078125,346.57984033821765,337.8458695622259,346.2225318413949,1276514
2010-08-30,335.721923828125,342.53043625398067,333.5185618981006,342.53043625398067,1558570
2010-08-31,334.9676513671875,336.5358010701338,329.5883238565922,333.47890624999997,2447874
2010-09-01,340.7836608886719,341.81584771672067,333.47887582119085,334.27287314457465,2745484
2010-09-02,335.1065368652344,344.39631458204474,334.0743501104215,344.39631458204474,2758800
2010-09-03,332.4068908691406,338.0442752915207,331.5334891872165,337.4487774489637,2777970
2010-09-06,339.5726623535156,340.426218833608,332.6847479680041,332.6847479680041,2287978
2010-09-07,345.92462158203125,347.333985594053,339.8307045054993,340.624701478643,2484236
2010-09-08,348.9814453125,350.5099037200915,340.98194193884115,343.0066241250129,4189478
2010-09-09,347.2545471191406,350.35113016565043,345.924587780561,350.15263094176055,2938158
2010-09-13,349.2593994140625,352.93163521352835,345.66656815373074,345.92460261733737,2349410
2010-09-14,355.4527587890625,356.90181366481306,349.4779334954653,350.54983477867626,3071038
2010-09-15,363.17425537109375,365.000463172622,356.9016833573713,357.2986818928078,5560394
2010-09-16,355.4726257324219,362.63844701928576,343.20535689819263,360.4747993794782,2334264
2010-09-17,362.77728271484375,364.7424304516141,357.3383975452009,357.3383975452009,3007978
2010-09-20,362.1619567871094,365.9930027995405,359.95861950100783,364.04770005347143,2419108
2010-09-21,378.7168273925781,380.32466691069214,361.38782844067634,362.0627309212434,4997184
2010-09-22,371.2928466796875,381.118559542903,369.20860455718724,379.53056554480753,4031066
2010-09-23,369.74468994140625,375.2828260592739,368.3353495535663,373.1787380208632,3327236
2010-09-24,369.98291015625,372.3450570557487,367.22376459232714,370.43944408181244,2738784
2010-09-27,368.25579833984375,373.75424209488506,366.03261643561785,371.19359692766017,3423290
2010-09-28,365.0997314453125,369.32775152503626,362.8963700764615,367.322913664906,2521714
2010-09-29,365.3775939941406,372.0868789646989,363.213971351246,367.22364688433873,3370194
2010-09-30,367.9978332519531,369.2086740572572,363.3132549219168,367.22368118598166,7560924
2010-10-01,381.7538146972656,383.5006180952232,366.0326810391261,368.01767388640985,3326156
2010-10-04,379.451171875,387.07354813051256,378.3395808906446,383.79831041556207,2140956
2010-10-05,377.2478942871094,383.4807767342385,375.6202098288894,377.14864464378206,2211664
2010-10-06,380.9797058105469,384.2549441713817,377.14865973249476,377.14865973249476,1838960
2010-10-07,376.6722717285156,383.50065258342175,372.54350077338705,381.1186609524688,1972940
2010-10-08,374.21087646484375,379.0145741377845,344.99178874453673,374.78652928993597,2695996
2010-10-11,373.5359802246094,378.71680693911753,368.83153242983514,374.210858437856,3065370
2010-10-12,377.426513671875,379.4511965166175,372.8213161078172,374.23068029774043,2608902
2010-10-13,394.1600036621094,396.0854611827217,376.79131696798896,379.5107715946182,5350604
2010-10-14,391.46044921875,398.58657865339876,389.99154961060617,395.76789839710244,2949086
2010-10-15,377.2677307128906,401.365548405992,375.1636431688056,396.6015656355945,5717798
2010-10-18,389.5549011230469,390.64664734275476,369.20872157394507,385.0886665878782,4480734
2010-10-19,384.1953125,391.9963430041523,382.7462582293791,389.8525413329889,2200912
2010-10-20,382.408935546875,389.25716200748604,379.61010001349564,382.90518384112215,2206638
2010-10-21,391.5198974609375,394.55692122956077,385.0885173761121,386.6963563396025,3752354
2010-10-22,412.9579772949219,416.61039396037035,405.7326212330064,405.7326212330064,9610404
2010-10-25,423.5775146484375,425.9595055610377,411.7668097067949,414.0694203070001,5156316
2010-10-26,421.8506164550781,423.89516851958666,413.49382670998057,422.2079248144045,3507024
2010-10-27,416.1337585449219,423.51796853114115,414.2877545100922,420.8183596693271,2141382
2010-10-28,417.9998779296875,423.81591770056025,412.8785857791162,416.84857218083846,5255690
2010-10-29,417.9998779296875,420.8185585825607,409.3055980175661,420.8185585825607,2212398
2010-11-01,418.9942626953125,424.16506703250514,417.28390030065026,418.4573042633994,1147948
2010-11-02,417.4229736328125,421.6192983349955,415.13588781637264,419.63052805983045,1565778
2010-11-03,418.7554931640625,429.1766300989108,417.0053655918843,417.9997507403989,2217878
2010-11-04,425.2589111328125,429.017668887892,422.21608180280657,422.4149589021014,1717440
2010-11-08,424.86102294921875,430.52901849164965,422.45459138505726,429.5743990052896,2248586
2010-11-09,433.9894714355469,437.0123927638081,425.00023884599415,427.1481206108521,3504086
2010-11-10,434.4668273925781,440.71154740626025,432.0007228144224,434.44692026578315,1540224
2010-11-11,423.5086669921875,433.5519577567357,420.9232654092345,433.5519577567357,1926096
2010-11-12,419.9884338378906,425.55698951340855,416.9256990839844,421.61921543207325,1802330
2010-11-15,424.00579833984375,429.5146819752122,418.8349959210652,423.60804430763005,1389396
2010-11-16,417.2043151855469,424.16501243581683,414.5393333916325,424.00590107358795,2178076
2010-11-18,414.7779541015625,426.3923532575143,413.6642233095288,426.3923532575143,2765160
2010-11-19,403.8795166015625,417.2440444439796,400.14061840862104,415.61326237000617,2172652
2010-11-22,413.30633544921875,414.85758637464556,402.3283304103106,404.1182241195013,2221236
2010-11-23,409.7067565917969,415.65316280070203,402.6863848490077,411.2778663501683,1684448
2010-11-24,399.64349365234375,411.4766799535701,397.3365243717038,407.6980154204054,3008608
2010-11-25,406.4251708984375,414.42004359014487,400.5781802497527,401.75155980516337,5855006
2010-11-26,416.5480041503906,419.2328444731551,407.697974938315,407.697974938315,3617826
2010-11-29,426.1138610839844,428.9776703378156,417.7411203266489,419.6304517444557,4518892
2010-11-30,427.9833068847656,431.98075403329193,418.87473051257945,421.81811984321,4808408
2010-12-01,430.33013916015625,434.824731030438,423.2103315778933,423.2103315778933,3776032
2010-12-02,435.8589172363281,437.2112421936421,427.6055205127874,433.9496783317073,4095716
2010-12-03,436.4754333496094,442.7002944604984,434.00937745614146,434.76511992477367,2030112
2010-12-06,438.2057189941406,441.50709779564295,435.66013132750584,437.5295563740606,1930954
2010-12-07,432.5576477050781,437.52957469019395,430.40976553671317,437.52957469019395,2158324
2010-12-08,429.2362365722656,434.7252126112668,426.0939702778619,433.92970461541546,1984132
2010-12-09,426.6309509277344,436.45550432616477,424.8410578428254,431.04601082638504,2579902
2010-12-10,427.5458984375,431.10577826617236,420.4260902261872,424.4036312879298,2245624
2010-12-13,428.0232238769531,429.8528832252643,417.0054535295796,425.994687457,2115066
2010-12-14,429.9522399902344,433.39282238608394,423.2700007863169,426.8696459660505,2615340
2010-12-15,438.9812927246094,440.8706245728544,430.17103028989504,431.6029352430353,2572034
2010-12-16,453.71832275390625,455.03093140069774,439.1804318314983,441.1095305274247,4515704
2010-12-20,464.0597839355469,468.1566714248317,443.43623934440734,451.37146439431734,4514046
2010-12-21,461.7132568359375,466.2675246028246,459.0085079050199,464.9748229991059,2810642
2010-12-22,457.31781005859375,464.9745770458762,452.54476050808006,464.1790687874572,3186836
2010-12-23,453.4396057128906,461.2157166184106,450.2973390853163,457.4171461138809,2850924
2010-12-24,453.87713623046875,456.9398715443788,447.77162128067175,451.0530921894575,1624640
2010-12-27,453.9168395996094,461.175850007195,452.7235776148008,455.42832420194867,1664936
2010-12-28,455.9653015136719,457.77510168814086,453.45948037281846,453.91685864302013,1012876
2010-12-29,460.1816101074219,462.19028783673394,456.2438831592176,457.0194842722955,1042370
2010-12-30,465.45172119140625,467.2814284731455,458.4114946645612,458.4114946645612,3845552
2010-12-31,463.64215087890625,469.3499134202988,462.11080705862656,466.3667571909325,1532980
2011-01-03,460.61932373046875,468.1368401322509,459.2271838702891,464.179204808477,1405042
